FID,3_code,PageNumber
105,64447640.000000000000000,12
106,64447641.000000000000000,12
107,64447642.000000000000000,12
108,64447643.000000000000000,12
109,64447650.000000000000000,12
110,64447651.000000000000000,12
111,64447652.000000000000000,12
112,64447653.000000000000000,12
113,64447624.000000000000000,13
114,64447625.000000000000000,13
115,64447626.000000000000000,13
116,64447627.000000000000000,13
117,64447634.000000000000000,13
118,64447635.000000000000000,13
119,64447636.000000000000000,13
120,64447637.000000000000000,13
121,64447644.000000000000000,13
122,64447645.000000000000000,13
123,64447646.000000000000000,13
124,64447647.000000000000000,13
125,64447654.000000000000000,13
126,64447655.000000000000000,13
127,64447656.000000000000000,13
128,64447657.000000000000000,13
129,64447628.000000000000000,14
130,64447629.000000000000000,14
131,64447638.000000000000000,14
132,64447639.000000000000000,14
133,64447720.000000000000000,14
134,64447721.000000000000000,14
135,64447730.000000000000000,14
136,64446489.000000000000000,15
137,64446498.000000000000000,15
138,64446499.000000000000000,15
139,64446580.000000000000000,15
140,64446581.000000000000000,15
141,64446590.000000000000000,15
142,64446591.000000000000000,15
143,64447408.000000000000000,15
144,64447409.000000000000000,15
145,64447418.000000000000000,15
146,64447419.000000000000000,15
147,64447500.000000000000000,15
148,64447501.000000000000000,15
149,64447510.000000000000000,15
150,64447511.000000000000000,15
151,64446582.000000000000000,16
152,64446583.000000000000000,16
153,64446584.000000000000000,16
154,64446585.000000000000000,16
155,64446592.000000000000000,16
156,64446593.000000000000000,16
157,64446594.000000000000000,16
158,64446595.000000000000000,16
159,64447502.000000000000000,16
160,64447503.000000000000000,16
161,64447504.000000000000000,16
162,64447505.000000000000000,16
163,64447512.000000000000000,16
164,64447513.000000000000000,16
165,64447514.000000000000000,16
166,64447515.000000000000000,16
167,64446586.000000000000000,17
168,64446587.000000000000000,17
169,64446588.000000000000000,17
170,64446589.000000000000000,17
171,64446596.000000000000000,17
172,64446597.000000000000000,17
173,64446598.000000000000000,17
174,64446599.000000000000000,17
175,64447506.000000000000000,17
176,64447507.000000000000000,17
177,64447508.000000000000000,17
178,64447509.000000000000000,17
