FID,G04a_001,G04a_002,G04a_010
449,64445757,41.2,1.4
450,64445758,34.1,1.7
451,64445759,46.5,1.0
452,64445760,40.7,1.4
453,64445761,64.4,1.9
454,64445762,54.5,2.0
455,64445763,36.8,1.6
456,64445764,40.4,1.5
457,64445765,35.0,1.2
458,64445766,45.5,1.4
459,64445767,49.4,0.4
460,64445768,47.2,0.8
461,64445769,45.3,0.8
462,64445770,61.5,2.3
463,64445771,72.0,1.5
464,64445772,63.8,1.9
465,64445773,51.3,1.9
466,64445774,55.1,1.1
467,64445775,50.4,1.0
468,64445776,50.9,0.6
469,64445780,63.0,1.6
470,64445781,71.3,1.1
471,64445782,66.4,1.2
472,64445783,58.6,1.0
473,64445790,47.3,2.9
474,64445791,65.8,1.2
475,64446429,89.1,1.9
476,64446439,68.5,2.3
477,64446449,54.9,2.7
478,64446459,75.5,2.5
479,64446469,70.4,2.2
480,64446479,68.6,2.6
481,64446489,66.2,2.0
482,64446498,79.1,2.2
483,64446499,69.0,1.8
484,64446501,72.5,3.1
485,64446502,88.4,1.3
486,64446503,81.7,1.3
487,64446504,63.7,1.6
488,64446505,55.4,1.4
489,64446506,31.0,2.2
490,64446507,26.2,1.2
491,64446508,38.5,2.1
492,64446509,31.3,1.6
493,64446510,73.9,3.6
494,64446511,63.0,2.0
495,64446512,63.0,2.4
496,64446513,72.5,2.2
497,64446514,50.0,2.9
498,64446515,47.7,2.4
499,64446516,43.4,2.6
500,64446517,22.2,2.4
501,64446518,35.6,1.6
502,64446519,29.0,2.3
503,64446520,82.0,2.5
504,64446521,57.4,1.6
505,64446522,54.5,2.8
506,64446523,75.1,2.2
507,64446524,63.6,2.3
508,64446525,41.1,3.4
509,64446526,27.2,3.4
510,64446527,23.9,2.8
511,64446528,16.8,1.6
512,64446529,14.3,1.1
513,64446530,79.4,1.8
514,64446531,79.5,2.4
515,64446532,57.8,3.5
516,64446533,57.1,2.6
517,64446534,69.5,1.7
518,64446535,65.8,1.7
519,64446536,58.1,2.6
520,64446537,35.2,2.3
521,64446538,16.5,1.3
522,64446539,20.7,1.7
523,64446540,87.7,1.7
524,64446541,87.2,1.7
525,64446542,64.7,3.1
526,64446543,37.9,3.0
527,64446544,40.4,2.7
528,64446545,38.2,2.1
529,64446546,28.0,1.7
530,64446547,17.3,1.2
531,64446548,34.0,3.6
532,64446549,25.5,2.7
533,64446550,85.5,1.8
534,64446551,77.2,2.1
535,64446552,59.5,2.1
536,64446553,42.4,2.4
537,64446554,24.3,1.2
538,64446555,17.1,1.3
539,64446556,24.1,1.9
540,64446557,29.0,2.4
541,64446558,21.8,1.8
542,64446559,33.8,2.4
543,64446560,69.7,2.0
544,64446561,62.6,2.4
545,64446562,48.3,2.4
546,64446563,32.7,2.0
547,64446564,32.1,3.1
548,64446565,42.7,2.7
549,64446566,34.4,2.4
550,64446567,26.5,1.6
551,64446568,29.9,2.9
552,64446569,14.7,0.9
553,64446570,54.9,1.8
554,64446571,49.9,2.8
555,64446572,34.6,2.3
556,64446573,56.3,3.7
557,64446574,54.5,2.1
558,64446575,51.9,1.8
559,64446576,54.0,1.9
560,64446577,41.3,2.5
561,64446578,35.1,3.6
562,64446579,32.3,3.3
563,64446580,68.5,1.4
564,64446581,65.3,1.7
565,64446582,46.3,2.6
566,64446583,69.8,2.0
567,64446584,61.6,1.8
568,64446585,54.2,1.5
569,64446586,52.3,1.9
570,64446587,54.7,2.2
571,64446588,28.7,2.5
572,64446589,41.4,2.8
573,64446590,79.0,1.7
574,64446591,56.8,2.0
575,64446592,67.7,2.3
576,64446593,75.2,2.0
577,64446594,66.7,1.3
578,64446595,61.8,1.6
579,64446596,62.4,1.8
580,64446597,49.2,2.5
581,64446598,34.3,2.8
582,64446599,44.5,1.9
583,64446600,27.4,1.5
584,64446601,19.5,1.4
585,64446602,15.6,1.3
586,64446603,6.0,0.3
587,64446604,16.0,1.6
588,64446605,13.1,1.2
589,64446606,9.3,0.9
590,64446607,9.9,0.9
591,64446608,4.1,0.5
592,64446609,21.9,2.4
593,64446610,20.3,0.7
594,64446611,17.3,1.0
595,64446612,17.6,1.3
596,64446613,7.9,0.9
597,64446614,16.1,1.2
598,64446615,6.7,0.3
599,64446616,8.0,0.9
600,64446617,24.4,1.7
601,64446618,19.5,2.1
602,64446619,9.2,0.9
603,64446620,10.8,0.9
604,64446621,12.1,1.0
605,64446622,18.4,2.1
606,64446623,24.3,2.2
607,64446624,11.8,1.1
608,64446625,15.5,1.6
609,64446626,16.4,1.9
610,64446627,21.5,2.4
611,64446628,32.5,1.9
612,64446629,23.8,2.1
613,64446630,15.1,2.5
614,64446631,23.0,2.4
615,64446632,30.3,2.3
616,64446633,17.9,1.4
617,64446634,12.5,1.6
618,64446635,14.2,2.8
619,64446636,25.6,2.1
620,64446637,43.5,2.6
621,64446638,42.6,2.1
622,64446639,32.7,2.6
623,64446640,35.4,2.9
624,64446641,33.6,3.2
625,64446642,21.5,2.2
626,64446643,14.2,1.1
627,64446644,17.3,1.9
628,64446645,43.6,2.8
629,64446646,35.7,2.7
630,64446647,38.1,2.6
631,64446648,51.9,2.8
632,64446649,30.4,3.1
633,64446650,14.0,1.9
634,64446651,15.9,1.6
635,64446652,18.2,1.8
636,64446653,16.5,1.6
637,64446654,18.7,2.2
638,64446655,34.1,2.3
639,64446656,50.0,2.3
640,64446657,59.8,2.4
641,64446658,42.5,2.5
642,64446659,32.9,2.8
643,64446660,15.3,0.9
644,64446661,42.2,2.4
645,64446662,25.9,2.3
646,64446663,24.2,2.1
647,64446664,38.9,2.6
648,64446665,25.7,2.2
649,64446666,50.8,2.6
650,64446667,72.0,2.3
651,64446668,54.5,3.8
652,64446669,20.5,1.7
653,64446670,18.8,1.4
654,64446671,40.7,2.4
655,64446672,35.5,2.5
656,64446673,36.2,2.5
657,64446674,50.0,2.8
658,64446675,42.1,2.7
659,64446676,68.3,2.7
660,64446677,62.4,3.1
661,64446678,45.8,3.3
662,64446679,36.1,3.7
663,64446680,25.9,1.9
664,64446681,38.5,2.6
665,64446682,53.7,2.0
666,64446683,34.6,3.0
667,64446684,62.9,2.0
668,64446685,49.9,2.8
669,64446686,74.9,1.9
670,64446687,74.6,2.3
671,64446688,54.2,2.9
672,64446689,27.2,3.0
673,64446690,34.3,2.7
674,64446691,37.2,2.1
675,64446692,47.8,2.6
676,64446693,35.7,1.9
677,64446694,58.8,2.4
678,64446695,69.7,2.1
679,64446696,67.5,2.3
680,64446697,61.5,2.9
681,64446698,34.9,2.4
682,64446699,36.5,2.5
683,64446700,44.8,2.0
684,64446701,47.2,2.5
685,64446702,57.1,1.4
686,64446703,47.7,1.9
687,64446704,46.1,0.8
688,64446710,22.3,2.2
689,64446711,22.9,2.4
690,64446712,25.3,2.7
691,64446713,23.6,2.8
692,64446714,51.2,2.4
693,64446715,64.8,1.1
694,64446720,9.7,0.7
695,64446721,22.7,2.5
696,64446722,34.1,2.8
697,64446723,36.0,2.8
698,64446724,35.6,2.9
699,64446725,61.4,2.5
700,64446726,63.7,1.5
701,64446730,16.3,1.9
702,64446731,41.8,2.4
703,64446732,51.9,2.9
704,64446733,45.5,3.1
705,64446734,59.6,2.7
706,64446735,61.7,2.6
707,64446736,59.1,1.2
708,64446740,25.2,2.3
709,64446741,49.3,2.4
710,64446742,56.6,2.3
711,64446743,49.9,3.1
712,64446744,65.2,2.2
713,64446745,60.8,1.9
714,64446746,66.0,1.1
715,64446750,26.2,3.0
716,64446751,57.2,1.5
717,64446752,56.1,2.0
718,64446753,55.2,2.7
719,64446754,70.4,1.5
720,64446755,70.5,1.6
721,64446756,63.2,1.5
722,64446760,39.2,3.2
723,64446761,69.6,0.8
724,64446762,60.8,1.9
725,64446763,50.3,2.8
726,64446764,74.4,1.5
727,64446765,73.9,1.8
728,64446770,42.7,3.6
729,64446771,71.8,0.9
730,64446772,54.8,2.2
731,64446773,72.0,3.0
732,64446774,71.9,1.3
733,64446780,55.8,3.5
734,64446781,70.4,1.5
735,64446782,62.5,2.1
736,64446783,77.0,0.9
737,64446790,71.3,1.2
738,64446791,65.4,1.3
739,64446792,74.6,1.5
740,64446793,75.5,1.0
741,64447408,72.9,1.8
742,64447409,79.2,1.7
743,64447418,59.0,2.8
744,64447419,90.2,2.2
745,64447429,79.1,2.4
746,64447439,79.4,3.0
747,64447500,75.0,2.0
748,64447501,58.0,1.9
749,64447502,75.3,2.5
750,64447503,71.0,1.5
751,64447504,61.4,1.6
752,64447505,44.1,1.7
753,64447506,37.8,2.0
754,64447507,31.0,2.0
755,64447508,48.9,2.5
756,64447509,53.6,2.5
757,64447510,71.4,2.1
758,64447511,73.0,2.4
759,64447512,73.8,2.4
760,64447513,51.1,1.5
761,64447514,46.4,1.6
762,64447515,43.8,2.3
763,64447516,43.6,2.1
764,64447517,46.4,2.3
765,64447518,65.3,2.2
766,64447519,54.0,2.7
767,64447520,76.7,2.0
768,64447521,77.0,2.3
769,64447522,59.2,2.5
770,64447523,62.2,3.4
771,64447524,48.5,1.9
772,64447525,58.4,2.2
773,64447526,53.8,2.7
774,64447527,63.6,3.1
775,64447528,51.2,2.9
776,64447529,36.6,2.9
777,64447530,80.1,2.1
778,64447531,71.3,2.8
779,64447532,77.5,2.9
780,64447533,57.7,2.5
781,64447534,73.2,2.6
782,64447535,63.9,2.3
783,64447536,73.1,2.8
784,64447537,54.5,3.6
785,64447538,54.7,3.0
786,64447539,78.6,3.0
787,64447540,72.4,2.6
788,64447541,88.5,2.2
789,64447542,89.5,1.9
790,64447543,76.3,2.1
791,64447544,79.3,1.9
792,64447545,58.9,2.2
793,64447546,60.9,4.1
794,64447547,79.3,2.7
795,64447548,80.0,2.3
796,64447549,89.9,1.5
797,64447550,71.9,2.5
798,64447551,95.2,1.9
799,64447552,94.9,1.1
800,64447553,86.7,1.9
801,64447554,73.5,2.1
802,64447555,69.7,2.9
803,64447556,94.3,1.5
804,64447557,92.1,1.7
805,64447558,91.1,1.5
806,64447559,94.4,0.9
807,64447561,98.4,1.7
808,64447562,89.3,1.6
809,64447563,78.4,1.8
810,64447564,68.6,2.7
811,64447565,95.5,2.8
812,64447566,98.2,1.1
813,64447567,94.4,1.5
814,64447568,89.8,2.0
815,64447569,85.3,1.6
816,64447571,84.6,2.5
817,64447572,99.8,1.7
818,64447573,92.0,1.8
819,64447574,85.6,3.3
820,64447575,104.0,1.2
821,64447576,97.7,1.1
822,64447577,96.5,1.1
823,64447578,97.7,1.2
824,64447579,89.1,1.4
825,64447581,86.4,3.2
826,64447582,105.1,1.7
827,64447583,90.7,2.7
828,64447584,94.6,2.5
829,64447585,109.1,1.1
830,64447586,100.5,1.2
831,64447587,98.8,1.1
832,64447588,94.8,0.9
833,64447589,87.8,0.7
834,64447591,101.5,2.5
835,64447592,113.1,1.0
836,64447593,100.6,2.4
837,64447594,103.8,1.8
838,64447595,108.3,0.9
839,64447596,105.5,0.8
840,64447597,101.4,1.0
841,64447600,38.0,2.0
842,64447601,46.9,2.4
843,64447602,52.2,1.7
844,64447603,47.1,1.9
845,64447604,65.8,2.5
846,64447605,69.4,2.5
847,64447606,47.5,2.4
848,64447607,42.7,3.2
849,64447608,40.0,2.6
850,64447609,43.8,3.0
851,64447610,51.9,2.7
852,64447611,64.1,1.8
853,64447612,75.4,2.6
854,64447613,63.3,2.1
855,64447614,56.3,1.9
856,64447615,60.0,3.8
857,64447616,72.5,3.2
858,64447617,66.4,3.0
859,64447618,41.1,3.4
860,64447619,60.6,2.4
861,64447620,76.9,3.8
862,64447621,87.9,1.8
863,64447622,87.2,1.4
864,64447623,64.2,3.3
865,64447624,71.3,2.8
866,64447625,84.5,1.1
867,64447626,70.6,1.8
868,64447627,49.3,3.1
869,64447628,53.0,3.5
870,64447629,75.3,1.2
871,64447630,77.0,2.4
872,64447631,69.3,2.3
873,64447632,67.2,3.0
874,64447633,74.3,2.4
875,64447634,83.0,1.1
876,64447635,75.1,1.9
