f_continue,p_a,p_s,p_plant,f_cut,f_rotation,f_plant,nffclass,climate,decade
continue,Same as depop,Solar 100%,Natural,Clear,Normal,Conifer,Non-Nature positive,MRI_rcp85,2050
continue,Same as depop,Solar 100%,Natural,Clear,Normal,Hardwood,Non-Nature positive,MRI_rcp85,2050
continue,Same as depop,Solar 100%,Natural,Selective,Long,Conifer,Non-Nature positive,MRI_rcp85,2050
continue,Same as depop,Solar 100%,Natural,Selective,Long,Hardwood,Non-Nature positive,MRI_rcp85,2050
continue,Same as depop,Solar 100%,Natural,Selective,Normal,Conifer,Non-Nature positive,MRI_rcp85,2050
continue,Same as depop,Solar 100%,Natural,Selective,Normal,Hardwood,Non-Nature positive,MRI_rcp85,2050
continue,Same as depop,Solar 50%,Hardwood,Clear,Long,Conifer,Non-Nature positive,MRI_rcp85,2050
continue,Same as depop,Solar 50%,Hardwood,Clear,Long,Hardwood,Non-Nature positive,MRI_rcp85,2050
continue,Same as depop,Solar 50%,Hardwood,Clear,Normal,Conifer,Non-Nature positive,MRI_rcp85,2050
continue,Same as depop,Solar 50%,Hardwood,Clear,Normal,Hardwood,Non-Nature positive,MRI_rcp85,2050
continue,Same as depop,Solar 50%,Hardwood,Selective,Long,Conifer,Non-Nature positive,MRI_rcp85,2050
continue,Same as depop,Solar 50%,Hardwood,Selective,Long,Hardwood,Non-Nature positive,MRI_rcp85,2050
continue,Same as depop,Solar 50%,Hardwood,Selective,Normal,Conifer,Dominated solution,MRI_rcp85,2050
continue,Same as depop,Solar 50%,Hardwood,Selective,Normal,Hardwood,Dominated solution,MRI_rcp85,2050
continue,Same as depop,Solar 50%,Natural,Clear,Long,Conifer,Non-Nature positive,MRI_rcp85,2050
continue,Same as depop,Solar 50%,Natural,Clear,Long,Hardwood,Non-Nature positive,MRI_rcp85,2050
continue,Same as depop,Solar 50%,Natural,Clear,Normal,Conifer,Non-Nature positive,MRI_rcp85,2050
continue,Same as depop,Solar 50%,Natural,Clear,Normal,Hardwood,Non-Nature positive,MRI_rcp85,2050
continue,Same as depop,Solar 50%,Natural,Selective,Long,Conifer,Non-Nature positive,MRI_rcp85,2050
continue,Same as depop,Solar 50%,Natural,Selective,Long,Hardwood,Non-Nature positive,MRI_rcp85,2050
continue,Same as depop,Solar 50%,Natural,Selective,Normal,Conifer,NS,MRI_rcp85,2050
continue,Same as depop,Solar 50%,Natural,Selective,Normal,Hardwood,Dominated solution,MRI_rcp85,2050
